Time,pos x,pos y,pos z,heading
671.550010006,-849.1381225585938,-3772.954345703125,365.1173095703125,-169.8636474609375
671.550010006,-849.1381225585938,-3772.954345703125,365.1173095703125,-169.8636474609375
671.600010007,-849.1381225585938,-3772.954345703125,365.1173095703125,-169.86351013183594
671.600010007,-849.1381225585938,-3772.954345703125,365.1173095703125,-169.86351013183594
671.600010007,-849.1381225585938,-3772.954345703125,365.1173095703125,-169.86351013183594
671.600010007,-849.1381225585938,-3772.954345703125,365.1173095703125,-169.86351013183594
671.600010007,-849.1381225585938,-3772.954345703125,365.1173095703125,-169.8633575439453
671.600010007,-849.1381225585938,-3772.954345703125,365.1173095703125,-169.8633575439453
671.650010008,-849.1380004882812,-3772.954345703125,365.1173095703125,-169.86326599121094
671.650010008,-849.1380004882812,-3772.954345703125,365.1173095703125,-169.86326599121094
671.700010009,-849.1380004882812,-3772.954345703125,365.1173095703125,-169.86312866210938
671.700010009,-849.1380004882812,-3772.954345703125,365.1173095703125,-169.86312866210938
671.750010009,-849.1380004882812,-3772.954345703125,365.1173095703125,-169.86312866210938
671.750010009,-849.1380004882812,-3772.954345703125,365.1173095703125,-169.86312866210938
671.750010009,-849.137939453125,-3772.954345703125,365.1173095703125,-169.8629913330078
671.750010009,-849.137939453125,-3772.954345703125,365.1173095703125,-169.8629913330078
671.80001001,-849.137939453125,-3772.954345703125,365.1173095703125,-169.8629913330078
671.80001001,-849.137939453125,-3772.954345703125,365.1173095703125,-169.8629913330078
671.80001001,-849.137939453125,-3772.954345703125,365.1173095703125,-169.8628692626953
671.80001001,-849.137939453125,-3772.954345703125,365.1173095703125,-169.8628692626953
671.850010011,-849.137939453125,-3772.954345703125,365.1173095703125,-169.8628692626953
671.850010011,-849.137939453125,-3772.954345703125,365.1173095703125,-169.8628692626953
671.900010012,-849.1378784179688,-3772.954345703125,365.1173095703125,-169.8628692626953
671.900010012,-849.1378784179688,-3772.954345703125,365.1173095703125,-169.8628692626953
671.900010012,-849.1378784179688,-3772.954345703125,365.1173095703125,-169.8627471923828
671.900010012,-849.1378784179688,-3772.954345703125,365.1173095703125,-169.8627471923828
671.900010012,-849.1378784179688,-3772.954345703125,365.1173095703125,-169.8627471923828
671.950010012,-849.1378784179688,-3772.954345703125,365.1173095703125,-169.8627471923828
672.000010013,-849.1378173828125,-3772.954345703125,365.1173400878906,-169.86268615722656
672.000010013,-849.1378173828125,-3772.954345703125,365.1173400878906,-169.86268615722656
672.000010013,-849.1378173828125,-3772.954345703125,365.1173400878906,-169.86268615722656
672.000010013,-849.1378173828125,-3772.954345703125,365.1173400878906,-169.86268615722656
672.000010013,-849.1378173828125,-3772.954345703125,365.1173095703125,-169.8625946044922
672.000010013,-849.1378173828125,-3772.954345703125,365.1173095703125,-169.8625946044922
672.050010014,-849.1376953125,-3772.954345703125,365.1173095703125,-169.8624725341797
672.050010014,-849.1376953125,-3772.954345703125,365.1173095703125,-169.8624725341797
672.050010014,-849.1376953125,-3772.954345703125,365.1173095703125,-169.8624725341797
672.050010014,-849.1376953125,-3772.954345703125,365.1173095703125,-169.8624725341797
672.100010015,-849.1376953125,-3772.954345703125,365.1173095703125,-169.8623809814453
672.100010015,-849.1376953125,-3772.954345703125,365.1173095703125,-169.8623809814453
672.150010015,-849.1376342773438,-3772.954345703125,365.1173095703125,-169.86231994628906
672.150010015,-849.1376342773438,-3772.954345703125,365.1173095703125,-169.86231994628906
672.250010017,-849.1376342773438,-3772.954345703125,365.1173095703125,-169.86219787597656
672.250010017,-849.1376342773438,-3772.954345703125,365.1173095703125,-169.86219787597656
672.250010017,-849.1376342773438,-3772.954345703125,365.1173095703125,-169.86219787597656
672.250010017,-849.1376342773438,-3772.954345703125,365.1173095703125,-169.86219787597656
672.300010018,-849.1375732421875,-3772.954345703125,365.1173095703125,-169.86207580566406
672.300010018,-849.1375732421875,-3772.954345703125,365.1173095703125,-169.86207580566406
672.300010018,-849.1375732421875,-3772.954345703125,365.1173095703125,-169.86207580566406
672.300010018,-849.1375732421875,-3772.954345703125,365.1173095703125,-169.86207580566406
672.350010018,-849.1375732421875,-3772.954345703125,365.1173095703125,-169.8619384765625
672.350010018,-849.1375732421875,-3772.954345703125,365.1173095703125,-169.8619384765625
672.400010019,-849.1375732421875,-3772.954345703125,365.1173095703125,-169.86180114746094
672.400010019,-849.1375732421875,-3772.954345703125,365.1173095703125,-169.86180114746094
672.45001002,-849.137451171875,-3772.954345703125,365.1173095703125,-169.86172485351562
672.45001002,-849.137451171875,-3772.954345703125,365.1173095703125,-169.86172485351562
672.45001002,-849.137451171875,-3772.954345703125,365.1173095703125,-169.86172485351562
672.45001002,-849.137451171875,-3772.954345703125,365.1173095703125,-169.86172485351562
672.45001002,-849.137451171875,-3772.954345703125,365.11724853515625,-169.86154174804688
672.45001002,-849.137451171875,-3772.954345703125,365.11724853515625,-169.86154174804688
672.550010021,-849.137451171875,-3772.954345703125,365.1173095703125,-169.86143493652344
672.550010021,-849.137451171875,-3772.954345703125,365.1173095703125,-169.86143493652344
672.600010022,-849.1373901367188,-3772.954345703125,365.11724853515625,-169.86131286621094
672.600010022,-849.1373901367188,-3772.954345703125,365.11724853515625,-169.86131286621094
672.600010022,-849.1373901367188,-3772.954345703125,365.11724853515625,-169.86131286621094
672.600010022,-849.1373901367188,-3772.954345703125,365.11724853515625,-169.86131286621094
672.650010023,-849.1373901367188,-3772.954345703125,365.1173095703125,-169.86117553710938
672.650010023,-849.1373901367188,-3772.954345703125,365.1173095703125,-169.86117553710938
672.650010023,-849.1373901367188,-3772.954345703125,365.1173095703125,-169.86117553710938
672.650010023,-849.1373901367188,-3772.954345703125,365.1173095703125,-169.86117553710938
672.650010023,-849.1373291015625,-3772.954345703125,365.1173095703125,-169.86109924316406
672.650010023,-849.1373291015625,-3772.954345703125,365.1173095703125,-169.86109924316406
672.750010024,-849.1373291015625,-3772.954345703125,365.1173095703125,-169.8610076904297
672.750010024,-849.1373291015625,-3772.954345703125,365.1173095703125,-169.8610076904297
672.750010024,-849.1373291015625,-3772.954345703125,365.1173095703125,-169.8610076904297
672.750010024,-849.1373291015625,-3772.954345703125,365.1173095703125,-169.8610076904297
672.800010025,-849.1372680664062,-3772.954345703125,365.1173095703125,-169.86090087890625
672.800010025,-849.1372680664062,-3772.954345703125,365.1173095703125,-169.86090087890625
672.800010025,-849.1372680664062,-3772.954345703125,365.1173400878906,-169.86082458496094
672.800010025,-849.1372680664062,-3772.954345703125,365.1173400878906,-169.86082458496094
672.800010025,-849.1372680664062,-3772.954345703125,365.1173400878906,-169.86082458496094
672.800010025,-849.1372680664062,-3772.954345703125,365.1173400878906,-169.86082458496094
672.850010026,-849.1371459960938,-3772.954345703125,365.1173400878906,-169.8607635498047
