Time,pos x,pos y,pos z
254.850003797,-11.911523543652937,-5.6235673282373995,1258.9533812386846
254.950003799,-11.911523658610484,-5.623565607697543,1259.4671522577792
254.950003799,-11.911523915434186,-5.623561712151886,1259.7240234482065
255.100003801,-11.911523890983903,-5.623562166573876,1260.2376730317803
255.100003801,-11.911523838083188,-5.623563272917239,1260.4944771979647
255.250003803,-11.91152370453643,-5.623565403273909,1261.008166369518
255.300003804,-11.911523622149954,-5.623566983082067,1261.2650307130023
255.350003805,-11.91152368016297,-5.623566150354769,1261.5218888078775
255.450003806,-11.911523840672581,-5.623563745845074,1262.0356640725834
255.500003807,-11.91152385668385,-5.623563665549421,1262.2925971051986
255.550003807,-11.911523900696636,-5.623563068655682,1262.806507430336
255.650003809,-11.911524064333344,-5.623560882063168,1263.0634866884961
255.70000381,-11.911524134137577,-5.623559905433231,1263.577582395794
255.800003811,-11.911524218988534,-5.623558912114628,1263.834664301794
255.950003813,-11.911524276064057,-5.623558129768743,1264.6061327506654
256.000003814,-11.911524220538332,-5.623559086523715,1264.8632775634817
256.100003816,-11.911524265488357,-5.623558472761161,1265.3776024922631
256.150003816,-11.911524405990683,-5.623556557196899,1265.6347444467385
256.200003817,-11.91152446143298,-5.6235557854753075,1266.1490447045746
256.300003819,-11.91152455827634,-5.623554520882865,1266.4062045995256
256.450003821,-11.911524751418538,-5.623551634057473,1267.1775036065399
256.600003823,-11.911529723770519,-5.623551607071385,1267.9487812417428
256.650003824,-11.911530076913914,-5.623551484975991,1268.2059130843636
256.750003825,-11.911530663099986,-5.623551484549786,1268.7201852694263
256.800003826,-11.911531366259403,-5.623551484610285,1268.977342242088
256.900003828,-11.91153604880182,-5.623551460676778,1269.7488791335174
257.000003829,-11.911542611340918,-5.623551424769711,1270.0060647406517
257.100003831,-11.911545823660433,-5.623551411133201,1270.5205071955897
257.150003831,-11.911546612367822,-5.623551292537618,1270.7777615540667
257.250003833,-11.911545837063693,-5.623551302681457,1271.2922861751856
257.300003834,-11.911545970566431,-5.623551180563643,1271.5495226187504
257.350003834,-11.911546157501267,-5.623551056709919,1271.8067580869276
257.450003836,-11.911549964292965,-5.623551037489714,1272.3212740038257
257.450003836,-11.911554918287846,-5.623551012000139,1272.5785243480157
257.600003838,-11.911555431812108,-5.623551014276163,1273.0931794656428
257.650003839,-11.911553616721594,-5.623551031863893,1273.350547480188
257.75000384,-11.911552907758463,-5.623551041942065,1273.8653269832857
257.800003841,-11.911553088551962,-5.623551046770713,1274.1227019752046
257.850003842,-11.91155578745084,-5.623550915729327,1274.380078774261
257.900003843,-11.911558495514658,-5.623550903092241,1274.8948137620957
258.000003844,-11.911561493037835,-5.623550889314442,1275.1521797242544
258.100003845,-11.911561998784281,-5.623550890484862,1275.6669607415104
258.150003846,-11.911562821942088,-5.623550889205865,1275.924401494423
258.200003847,-11.911564927267547,-5.623550882292456,1276.4393904833446
258.300003848,-11.91156657939126,-5.623552286105697,1276.6969527992328
258.300003848,-11.911567138767,-5.623552679447849,1276.954556976767
258.450003851,-11.911566908061065,-5.6235524960495,1277.4698966399103
258.500003851,-11.911566585997573,-5.623552080089905,1277.7275832508028
258.600003853,-11.911566707066687,-5.623552215059622,1278.2430060711808
258.650003854,-11.911568247624452,-5.623553513554953,1278.5007354634897
258.750003855,-11.911569192877247,-5.623554398754773,1279.0163376321855
258.800003856,-11.911568868533715,-5.623553987658236,1279.274149546291
258.850003857,-11.911568580568469,-5.62355375003378,1279.5319653076647
258.950003858,-11.911568632160645,-5.623553820884378,1280.0476503403002
259.000003859,-11.9115685758804,-5.623553654752949,1280.3054957387662
259.10000386,-11.911568699368605,-5.6235552829936815,1280.8210203918502
259.150003861,-11.911567970395275,-5.6235561112995205,1281.0787813990405
259.200003862,-11.911567970621064,-5.623556093225138,1281.5943012812936
259.250003863,-11.911569443645924,-5.623555843359039,1281.8520730458931
259.350003864,-11.911573162779455,-5.62355812202119,1282.1098458064637
