Time,heading
254.850003797,1.6475547552108765
254.900003798,1.6475547552108765
254.950003799,1.6475547552108765
255.000003799,1.6475547552108765
255.100003801,1.6475547552108765
255.150003802,1.6475547552108765
255.200003802,1.6475547552108765
255.300003804,1.6475547552108765
255.350003805,1.6475547552108765
255.400003805,1.6475547552108765
255.500003807,1.6475547552108765
255.550003807,1.6475547552108765
255.600003808,1.6475547552108765
255.70000381,1.6475547552108765
255.75000381,1.6475547552108765
255.850003812,1.6475547552108765
255.900003813,1.6475547552108765
255.950003813,1.6475547552108765
256.000003814,1.6475547552108765
256.050003815,1.6475547552108765
256.100003816,1.6475547552108765
256.200003817,1.6475547552108765
256.250003818,1.6475547552108765
256.300003819,1.6475547552108765
256.40000382,1.6475547552108765
256.450003821,1.6475547552108765
256.500003822,1.6475547552108765
256.550003822,1.6475547552108765
256.600003823,1.6475547552108765
256.700003825,1.6475547552108765
256.750003825,1.6475547552108765
256.800003826,1.6475547552108765
256.900003828,1.6475547552108765
257.000003829,1.6475547552108765
257.05000383,1.6475547552108765
257.100003831,1.6475547552108765
257.150003831,1.6475547552108765
257.200003832,1.6475547552108765
257.300003834,1.6475547552108765
257.350003834,1.6475547552108765
257.400003835,1.6475547552108765
257.450003836,1.6475547552108765
257.500003837,1.6475547552108765
257.550003837,1.6475547552108765
257.600003838,1.6475547552108765
257.650003839,1.6475554704666138
257.75000384,1.6475547552108765
257.850003842,1.6475547552108765
257.900003843,1.6475547552108765
257.950003843,1.6475547552108765
258.000003844,1.6475547552108765
258.100003845,1.6475547552108765
258.150003846,1.6475547552108765
258.200003847,1.6475547552108765
258.250003848,1.6475547552108765
258.300003848,1.6475547552108765
258.350003849,1.6475547552108765
258.40000385,1.6475547552108765
258.450003851,1.6475547552108765
258.500003851,1.6475547552108765
258.550003852,1.6475547552108765
258.600003853,1.6475547552108765
258.650003854,1.6475547552108765
258.700003854,1.6475547552108765
258.750003855,1.6475547552108765
258.850003857,1.6475547552108765
258.900003857,1.6475547552108765
258.950003858,1.6475547552108765
259.000003859,1.6475547552108765
259.05000386,1.6475547552108765
259.10000386,1.6475547552108765
259.150003861,1.6475547552108765
259.200003862,1.6475547552108765
259.250003863,1.6475547552108765
259.350003864,1.6475554704666138
259.400003865,1.6475554704666138
259.450003866,1.6475554704666138
259.500003866,1.6475547552108765
259.600003868,1.6475547552108765
259.650003869,1.6475547552108765
259.700003869,1.6475554704666138
259.75000387,1.6475554704666138
259.800003871,1.6475554704666138
259.850003872,1.6475554704666138
259.950003873,1.6475554704666138
259.950003873,1.6475547552108765
260.000003874,1.6475554704666138
260.050003875,1.6475554704666138
260.100003875,1.6475554704666138
260.150003876,1.6475547552108765
260.250003878,1.6475547552108765
260.300003878,1.6475547552108765
260.350003879,1.6475547552108765
260.40000388,1.6475547552108765
260.500003881,1.6475547552108765
260.550003882,1.6476184129714966
260.600003883,1.6470345258712769
260.650003883,1.646591067314148
260.700003884,1.6449381113052368
260.750003885,1.6419004201889038
260.800003886,1.6374677419662476
260.850003886,1.6318587064743042
260.950003888,1.6244350671768188
260.950003888,1.615615725517273
261.000003889,1.6056188344955444
261.050003889,1.593798041343689
261.10000389,1.5810967683792114
261.150003891,1.5665115118026733
261.200003892,1.5509709119796753
261.250003892,1.5340789556503296
261.350003894,1.515673041343689
261.400003895,1.4952982664108276
261.400003895,1.4749900102615356
261.450003895,1.455701231956482
261.500003896,1.4360805749893188
261.550003897,1.4170833826065063
261.600003898,1.4032856225967407
261.650003898,1.3979233503341675
261.700003899,1.3985201120376587
