Time,heading
254.850003797,-1.6353784799575806
254.950003799,-1.635382890701294
254.950003799,-1.6353870630264282
255.100003801,-1.6353915929794312
255.100003801,-1.635396122932434
255.250003803,-1.6354007720947266
255.300003804,-1.635405421257019
255.350003805,-1.6354098320007324
255.450003806,-1.6354141235351562
255.500003807,-1.6354186534881592
255.550003807,-1.6354230642318726
255.650003809,-1.6354273557662964
255.70000381,-1.6354318857192993
255.800003811,-1.6354362964630127
255.950003813,-1.635440707206726
256.000003814,-1.635445237159729
256.100003816,-1.6354496479034424
256.150003816,-1.6354540586471558
256.200003817,-1.6354584693908691
256.300003819,-1.6354628801345825
256.450003821,-3.135547399520874
256.600003823,-3.135550022125244
256.650003824,-3.1355528831481934
256.750003825,-3.1355559825897217
256.800003826,-3.135558843612671
256.900003828,-3.135561466217041
257.000003829,-3.135563850402832
257.100003831,-3.1355667114257812
257.150003831,-3.1355695724487305
257.250003833,-3.135572671890259
257.300003834,-3.135575532913208
257.350003834,-3.1355786323547363
257.450003836,-3.1355812549591064
257.450003836,-3.1355838775634766
257.600003838,-3.135586977005005
257.650003839,-3.135590076446533
257.75000384,-3.1355929374694824
257.800003841,-3.1355960369110107
257.850003842,-3.135598659515381
257.900003843,-3.13560152053833
258.000003844,-3.1356043815612793
258.100003845,-3.1356072425842285
258.150003846,-3.1356101036071777
258.200003847,-3.135612964630127
258.300003848,2.4034409523010254
258.300003848,2.4034388065338135
258.450003851,2.4034364223480225
258.500003851,2.4034342765808105
258.600003853,2.4034318923950195
258.650003854,2.4034297466278076
258.750003855,2.4034276008605957
258.800003856,2.403425455093384
258.850003857,2.4034230709075928
258.950003858,2.403420925140381
259.000003859,2.403418779373169
259.10000386,1.6592873334884644
259.150003861,0.9151574373245239
259.200003862,0.9151567220687866
259.250003863,0.17102742195129395
259.350003864,-0.5731013417243958
259.450003866,-0.573100745677948
259.450003866,-1.3172290325164795
259.600003868,-1.3172274827957153
259.650003869,-1.3172258138656616
259.700003869,-1.317224144935608
